,,,,,,,,,,
,Pais,ClaveTerritorio,ingresos,costos,CostoCampanas,BeneficioBruto,Margen_pct,ROI_pct,,INSIGHT C F I
,United States,1,"$3,353,939.92","$1,899,471.33","$1,920,000.00","$1,454,468.60",43.37%,75.75%,,Contexto:
,Australia,9,"$2,532,003.49","$1,474,958.18","$2,150,400.00","$1,057,045.31",41.75%,49.16%,,"Se trabajó con una base que contiene datos específicos tanto de los productos, los territorios y las ventas de la empresa.
Se analizaron los ingresos totales, costos totales y costos de campaña. 
A partir de dicho análisis, se realizó el cálculo de utilidad bruta, margen de ganancia y ROI."
,United Kingdom,10,"$1,189,636.78","$681,508.55","$2,304,000.00","$508,128.24",42.71%,22.05%,,
,Germany,8,"$1,071,460.42","$611,295.36","$2,265,600.00","$460,165.06",42.95%,20.31%,,Hallazgos
,France,7,"$924,316.93","$527,797.14","$2,208,000.00","$396,519.79",42.9%,17.96%,,1)Estados Unidos se posicionó como líder en las 3 métricas mostrando que sus costos realmente están generando beneficios bastante altos para la empresa.
,Canada,6,"$710,205.18","$392,325.91","$1,824,000.00","$317,879.27",44.76%,17.43%,,
,,,,,,,,,,2)El costo de campaña de Canadá no está creando beneficio económico real a la empresa.
,¿Cuál es la diferencia entre Margen y ROI?,,,,,,,,,
,1)El margen de ganancia nos permite conocer que porcentaje de los ingresos se convierte en ganancia; en cambio el ROI nos permite conocer que porcentaje de la inversión se convierte en ganancia.,,,,,,,,,"3)Si bien, el país de Inglaterra cuenta con un muy buen porcentaje de ganancia de sus ingresos, su ROI muestra una disminución significativa."
,¿Por qué el ROI en Estados Unidos es tan alto comparado con otros países?,,,,,,,,,
,Porque el costo de campaña para este país es significativamente menor a los ingresos que se obtienen por venta.,,,,,,,,,Implicación
,"Si aumentáramos el gasto de campañas en un 50%, ¿qué pasaría con el ROI?",,,,,,,,,1)Se recomienda realizar un análisis más exhaustivo en cuanto a las campañas y el mercado objetivo del país de Canadá; su costo por este rubro es demasiado alto a comparación de los ingresos que está obteniendo. Con dicho análisis se podría detectar el área de oportunidad que no está permitiendo convertir la estrategia de Marketing en ganancias.
,El ROI disminuiría. ,,,,,,,,,
,,,,,,,,,,"2)Se recomienda realizar un estudio que permita conocer las preferencias del mercado inglés para poder así, enfocar su estrategia de Marketing a productos que generen mayor volumen de ventas."